epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.621,1.7968,4.49026,1.33444,0.81433,0.52768,0.64105,0.35612,1.58603,1.32304,1.16299,0.00332982,0.00332982,0.00332982
2,593.933,1.81214,1.53851,1.32864,0.66486,0.48708,0.51589,0.27904,1.64941,1.51702,1.2221,0.00664666,0.00664666,0.00664666
3,879.46,1.96506,1.65073,1.42769,0.59604,0.58259,0.56621,0.3226,1.43058,3.11602,1.15358,0.009947,0.009947,0.009947
4,1150.2,1.86723,1.54863,1.38079,0.66518,0.65683,0.68197,0.34798,1.45734,1.24727,1.11558,0.00992575,0.00992575,0.00992575
5,1427.1,1.70591,1.26672,1.27841,0.7966,0.75277,0.82818,0.50008,1.30157,0.86082,1.06561,0.009901,0.009901,0.009901
6,1705.99,1.64572,1.18881,1.22631,0.80073,0.81919,0.88033,0.54456,1.23988,0.7979,0.99735,0.00987625,0.00987625,0.00987625
7,1988.64,1.56782,1.10489,1.19694,0.83395,0.71587,0.86287,0.54122,1.25847,0.86507,0.9924,0.0098515,0.0098515,0.0098515
8,2258.57,1.5239,1.03699,1.17513,0.84677,0.63469,0.80812,0.49899,1.30704,0.91893,1.00546,0.00982675,0.00982675,0.00982675
9,2621.9,1.45035,0.98658,1.14125,0.75649,0.65343,0.7548,0.49759,1.25165,0.84552,1.01886,0.009802,0.009802,0.009802
10,3000.69,1.45685,0.9774,1.15137,0.77678,0.82184,0.86663,0.52637,1.31892,0.85279,1.01134,0.00977725,0.00977725,0.00977725
11,3383.58,1.42166,0.91887,1.12162,0.82262,0.85609,0.91236,0.57245,1.19952,0.67152,0.95382,0.0097525,0.0097525,0.0097525
12,3761.13,1.40953,0.90409,1.11648,0.87336,0.83977,0.92601,0.60265,1.1501,0.65418,0.92704,0.00972775,0.00972775,0.00972775
13,4130.92,1.37,0.87477,1.11402,0.7357,0.8936,0.87726,0.54602,1.22504,0.7175,0.98408,0.009703,0.009703,0.009703
14,4507.4,1.37532,0.88558,1.09793,0.80684,0.90942,0.92125,0.60818,1.09863,0.61661,0.91198,0.00967825,0.00967825,0.00967825
15,4893.45,1.31666,0.84112,1.08138,0.86309,0.92251,0.94349,0.62775,1.03152,0.60652,0.88585,0.0096535,0.0096535,0.0096535
16,5268.92,1.35277,0.84195,1.09629,0.83452,0.89322,0.93634,0.61657,1.10632,0.63461,0.91341,0.00962875,0.00962875,0.00962875
17,5639.38,1.30779,0.82497,1.0794,0.82446,0.94096,0.93376,0.64544,1.08199,0.62637,0.90976,0.009604,0.009604,0.009604
18,6018.02,1.31695,0.81139,1.07975,0.89492,0.93727,0.96163,0.64552,1.06903,0.59781,0.90904,0.00957925,0.00957925,0.00957925
19,6404.13,1.30857,0.82016,1.07509,0.82393,0.94465,0.95242,0.64168,1.06225,0.59343,0.88205,0.0095545,0.0095545,0.0095545
20,6734.55,1.28648,0.81362,1.07107,0.87327,0.88992,0.93123,0.62976,1.05719,0.55829,0.89259,0.00952975,0.00952975,0.00952975
21,7006.64,1.26495,0.80118,1.05248,0.84162,0.88192,0.94027,0.64398,1.03918,0.57559,0.88181,0.009505,0.009505,0.009505
22,7284.24,1.27802,0.7821,1.06588,0.87339,0.94465,0.9502,0.64808,1.02057,0.54638,0.87655,0.00948025,0.00948025,0.00948025
23,7557.84,1.24678,0.77116,1.03834,0.85323,0.92989,0.94539,0.67354,0.98331,0.53477,0.86596,0.0094555,0.0094555,0.0094555
24,7828.67,1.23626,0.75612,1.03526,0.82543,0.93727,0.94544,0.67712,1.00457,0.54122,0.86013,0.00943075,0.00943075,0.00943075
25,8104.64,1.24789,0.77991,1.06261,0.88841,0.94007,0.96228,0.66665,0.99345,0.51301,0.86316,0.009406,0.009406,0.009406
26,8381.39,1.20232,0.73166,1.03508,0.84341,0.93412,0.96008,0.67789,0.96818,0.51562,0.85822,0.00938125,0.00938125,0.00938125
