epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,462.724,2.01804,4.53198,1.47149,0.51326,0.60036,0.59305,0.29744,1.47241,1.28003,1.11348,0.067705,0.000998815,0.000998815
2,921.881,1.53799,1.24645,1.14535,0.59554,0.46443,0.54533,0.24783,1.45522,1.34739,0.96559,0.0353617,0.00198892,0.00198892
3,1364.21,1.59137,1.29752,1.19812,0.75592,0.53282,0.67042,0.35833,1.46038,1.21141,1.07462,0.00300862,0.00296913,0.00296913
4,1834.71,1.72269,1.33031,1.25648,0.86441,0.58267,0.74953,0.41702,1.24444,1.02779,0.9793,0.00295545,0.00295545,0.00295545
5,2283.64,1.64709,1.20889,1.24227,0.74543,0.66122,0.75445,0.41395,1.3536,0.85714,1.0173,0.0029406,0.0029406,0.0029406
6,2726.67,1.53205,1.07084,1.18231,0.73764,0.74194,0.82181,0.51212,1.17207,0.78948,0.9295,0.00292575,0.00292575,0.00292575
7,3176.57,1.51202,1.05365,1.16053,0.78387,0.82549,0.88235,0.56425,1.0628,0.78088,0.87781,0.0029109,0.0029109,0.0029109
8,3497.74,1.46057,0.99153,1.16414,0.75561,0.79391,0.84434,0.50711,1.13619,0.79095,0.90525,0.00289605,0.00289605,0.00289605
9,3718.08,1.4221,0.94773,1.12366,0.74477,0.84196,0.89121,0.57303,1.02376,0.71643,0.85537,0.0028812,0.0028812,0.0028812
10,3926.51,1.39736,0.91862,1.10228,0.78562,0.29553,0.45535,0.25753,1.47914,2.60136,1.08236,0.00286635,0.00286635,0.00286635
11,4137.45,1.40237,0.88933,1.115,0.81607,0.81901,0.90588,0.5739,1.04749,0.65953,0.87829,0.0028515,0.0028515,0.0028515
12,4347.55,1.34815,0.85266,1.10157,0.85525,0.84712,0.90329,0.5825,1.02816,0.60115,0.85649,0.00283665,0.00283665,0.00283665
13,4562.12,1.33519,0.85817,1.07006,0.86455,0.89068,0.93144,0.63945,0.91353,0.60998,0.82132,0.0028218,0.0028218,0.0028218
14,4772.89,1.32862,0.82685,1.09323,0.85726,0.89785,0.93672,0.62178,0.98402,0.61327,0.83413,0.00280695,0.00280695,0.00280695
